Casuals,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN233,,,,,3,,,,,,
RN234,,,,Yes,5,,,,,,
RN235,,,,,5,,,,,,
RN236,,,,Yes,5,,,,,,
RN237,,,,Yes,5,,,Yes,,,
RN238,,,,Yes,5,,Charge,Yes,,,
RN239,,,,,4,,,,,,
RN240,,,,Yes,5,,,,,,
RN241,,,,Yes,5,,Support,,,,
RN242,,,,Yes,4,,,,,,
RN243,,,,,4,,,,,,
RN244,,,,,4,,,,,,
RN245,,,,,4,,,,,,
RN246,,,,,4,,,,,,
RN247,,,,,4,,,,,,
RN248,,,,Yes,5,,,,,,
RN249,,,,,5,,Support,,,,
RN250,,,,Yes,4,,,,,,
RN251,,,,,4,,,,,,
RN252,,,,Yes,5,,Charge,Yes,Yes,,
RN253,,,,,4,,,,,,
RN254,,,,,4,,,,,,
RN255,,,,,4,,,,,,
RN256,,,,,3,,,,,,
RN257,,,,Yes,4,,,,,,
RN258,,,,,3,,,,,,
RN259,,,,Yes,3,,,,,,
RN260,,,,Yes,2,,,,,,
RN261,,,,Yes,4,,,,,,
RN262,,,,Yes,5,,Charge,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft
