Group 3,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN50,D,A01,1,,4,,,,,,
RN51,E,A02,0.51,Yes,2,,,,,Area A,Area A
RN52,C,A05,1,,4,,,,,,
RN53,D,B04,1,Yes,5,,Charge,Yes,L,,
RN54,F,B02,1,Yes,5,,,,,Area B,Area B
RN55,C,B04,1,Yes,4,,,,,,
RN56,E,B01,1,,4,,,,,,
RN57,F,B06,1,,5,Yes,,,,Area B,
RN58,C,A04,1,Yes,5,,,,,5 #2,
RN59,C,B01,1,Yes,5,,Charge,,Yes,Code PRN,Code
RN60,C,A06,1,,5,,L Support,,,5,
RN61,C,A06,1,Yes,5,,Support,,,,Support
RN62,A,M06,1,,2,,,,,,
RN63,D,AB04,1,,3,,,,,3,
RN64,F,B06,0.52,Yes,5,,Support,,,,
RN65,A,M02,0.51,Yes,2,,,,,M,
RN66,E,A03,0.51,Yes,3,,,,,2,
RN67,C,A03,0.52,Yes,5,,Support,,,,
RN68,C,A01,1,Yes,5,,Support,,,,
RN69,C,B05,1,Yes,5,Yes,Support,,,,Support
RN70,F,B06,1,Yes,5,,,,,,
RN71,D,B03,1,,4,,,,,A,
RN72,D,B03,0.51,,5,,,,,,
RN73,E,A04,1,Yes,5,Yes,Charge,,Yes,,Charge PRN
RN74,D,B05,1,,5,,Support,,,,
RN75,D,B04,0.75,Yes,5,,Code,,,,Support
RN76,D,B06,1,Yes,5,,Charge,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft
