Team 9,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN211,E,AB06,0.52,,4,,,,,,
RN212,F,B02,0.52,Yes,5,,Charge,,,Charge,B
RN213,C,B04,1,Yes,4,,,,,,
RN214,D,B03,0.51,Yes,4,,,,,,4
RN215,F,B05,0.78,Yes,5,Yes,,,,,
RN216,F,AB05,0.51,Yes,5,,Charge,,Yes,Resus,
RN217,C,B06,1,Yes,5,,Support,,,,
RN218,F,B05,0.78,Yes,5,,,,,,
RN219,C,A01,1,,4,,,,,,
RN220,E,AB02,1,,5,Yes,,,,,5
RN221,D,A04,1,,4,,,,,,4
RN222,D,B04,1,Yes,5,,,,,,
RN223,A,M05,1,Yes,4,Yes,,,,,
RN224,E,A04,1,,3,,,,,3,3
RN225,C,B01,1,Yes,5,Yes,,,,,
RN226,D,A03,.52,Yes,4,,,,,,
RN227,F,A02,1,Yes,4,,,,,,
RN228,E,AB04,0.51,Yes,4,,,,,,
RN229,D,AB01,1,,4,,,,,4,A 
RN230,F,A05,1,Yes,5,,,,,,5
RN231,E,AB01,,,4,,,,,4,4
RN232,E,A06,1,Yes,4,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft
